Ref,Val,Package,PosX,PosY,Rot,Side
"J1","BLDC","532610371",116.816000,-118.584000,45.000000,bottom
"R18","330","R_2512_6332Metric",123.500000,-100.000000,180.000000,bottom
"R19","330","R_2512_6332Metric",115.600000,-100.000000,180.000000,bottom
"R20","330","R_2512_6332Metric",84.400000,-100.000000,0.000000,bottom
"R21","330","R_2512_6332Metric",76.500000,-100.000000,0.000000,bottom
"U8","VEML7700","VEML7700-TOP",100.000000,-61.000000,180.000000,bottom
